,description,title,company,created,contract_time,adref,location,__CLASS__,salary_is_predicted,redirect_url,category,id,latitude,longitude,salary_max,salary_min,contract_type
10,"The mission of Speechify is to make sure that reading is never a barrier to learning. Over 50 million people use Speechify’s text-to-speech products to turn whatever they’re reading – PDFs, books, Google Docs, news articles, websites – into audio, so they can read faster, read more, and remember more. Speechify’s text-to-speech reading products include its iOS app, Android App, Mac App, Chrome Extension, and Web App. Google recently named Speechify the Chrome Extension of the Year and Apple nam…","Software Engineer, Data Infrastructure & Acquisition - Vancouver, Canada","{'display_name': 'Speechify', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-05-01T16:47:28Z,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxNjIwMTYwNSIsInMiOiJaTFVOY0o1ajhSR2E5Tzg2ZHBwRzFRIn0.HeB96hCHVtqAdq2DgceiOAeXlsrOPZUHakhUuwHHIMA,"{'display_name': 'Vancouver, Greater Vancouver', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Canada', 'British Columbia', 'Greater Vancouver', 'Vancouver']}",Adzuna::API::Response::Job,0,https://www.adzuna.ca/details/5716201605?utm_medium=api&utm_source=dc9dca8a,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs', 'label': 'IT Jobs'}",5716201605,,,,,
11,"The mission of Speechify is to make sure that reading is never a barrier to learning. Over 50 million people use Speechify’s text-to-speech products to turn whatever they’re reading – PDFs, books, Google Docs, news articles, websites – into audio, so they can read faster, read more, and remember more. Speechify’s text-to-speech reading products include its iOS app, Android App, Mac App, Chrome Extension, and Web App. Google recently named Speechify the Chrome Extension of the Year and Apple nam…","Software Engineer, Data Infrastructure & Acquisition - Toronto, Canada","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Speechify'}",2026-05-01T16:30:16Z,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxNjE2MTY5NyIsInMiOiJaTFVOY0o1ajhSR2E5Tzg2ZHBwRzFRIn0.TYlAjcf0ZzIIFesK2cZLA1-xmjXZZlXwE52X74qkTiM,"{'display_name': 'Toronto, Ontario', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Canada', 'Ontario', 'Toronto']}",Adzuna::API::Response::Job,0,https://www.adzuna.ca/details/5716161697?utm_medium=api&utm_source=dc9dca8a,"{'label': 'IT Jobs', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",5716161697,43.706102,-79.402726,,,
12,"The mission of Speechify is to make sure that reading is never a barrier to learning. Over 50 million people use Speechify’s text-to-speech products to turn whatever they’re reading – PDFs, books, Google Docs, news articles, websites – into audio, so they can read faster, read more, and remember more. Speechify’s text-to-speech reading products include its iOS app, Android App, Mac App, Chrome Extension, and Web App. Google recently named Speechify the Chrome Extension of the Year and Apple nam…","Software Engineer, Data Infrastructure & Acquisition - Montreal, Canada","{'display_name': 'Speechify', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-05-06T16:38:25Z,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkxVTmNKNWo4UkdhOU84NmRwcEcxUSIsImkiOiI1NzIwODEyNjMyIn0.0kKYx-ovM0i_44TgW1DKGL8i3jIFnNP6g-N7JHD5ACk,"{'display_name': 'Montréal, Québec', 'area': ['Canada', 'Québec', 'Montréal'], '__CLASS__': 'Adzuna::API::Response::Location'}",Adzuna::API::Response::Job,0,https://www.adzuna.ca/details/5720812632?utm_medium=api&utm_source=dc9dca8a,"{'label': 'IT Jobs', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",5720812632,45.544959,-73.588138,,,
13,"Lambda, The Superintelligence Cloud, is a leader in AI cloud infrastructure serving tens of thousands of customers. Our customers range from AI researchers to enterprises and hyperscalers. Lambda's mission is to make compute as ubiquitous as electricity and give everyone the power of superintelligence. One person, one GPU. If you'd like to build the world's best AI cloud, join us. *Note: This position requires presence in our Quebec City, Canada Data Center 5 days; shift work What You'll Do Ens…","Data Center Operations Systems Engineer (Quebec City, Canada)","{'display_name': 'Lambda', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-04-15T16:32:23Z,full_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwMDUyNjgzMyIsInMiOiJaTFVOY0o1ajhSR2E5Tzg2ZHBwRzFRIn0.RCKL4Cw8cUoKm1UqLVGWKyESihotVEoL33tLndl1S1Q,"{'area': ['Canada', 'Québec', 'Québec City'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Québec City, Québec'}",Adzuna::API::Response::Job,0,https://www.adzuna.ca/details/5700526833?utm_medium=api&utm_source=dc9dca8a,"{'label': 'Engineering Jobs', 'tag': 'engineering-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",5700526833,46.816056,-71.252738,102700.0,66250.0,
14,"Senior Data Engineer Location: Canada (Hybrid) Experience: 10 Years Duration: Long Term Please share the resume at Requirements: Strong experience in data engineering & pipeline development Hands-on with GCP, Databricks, Python, Kubernetes Experience with Kafka, Spark Streaming, Flink Knowledge of Hadoop (Hive, Pig, Spark) Experience in Data Lakehouse, Medallion Architecture, Unity Catalog CI/CD, DevOps, and Terraform experience Skills: Good communication & stakeholder management Experience wit…",Senior Data Engineer,"{'display_name': 'Burgeon IT Services', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-04-10T01:23:02Z,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkxVTmNKNWo4UkdhOU84NmRwcEcxUSIsImkiOiI1Njk1MzA3MTQ4In0.QHk_ulJnG7j8M6-y_cey-EtnTLDlvGVs5EiYtfx6zqc,"{'display_name': 'Embrun, Prescott and Russell', 'area': ['Canada', 'Ontario', 'Prescott and Russell', 'Embrun'], '__CLASS__': 'Adzuna::API::Response::Location'}",Adzuna::API::Response::Job,0,https://www.adzuna.ca/details/5695307148?utm_medium=api&utm_source=dc9dca8a,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT Jobs', 'tag': 'it-jobs'}",5695307148,45.27397,-75.27501,,,
15,"About Us Apollo is a Mission-Critical Infrastructure Engineering, Construction, Commissioning, and Operations Support Services Company. We serve mission-critical industries globally with commissioning, emergency response, operations support, and owner's representative services. Apollo is currently executing projects in multiple states in the United States, in Canada and Brazil. Since our inception, we have built a commissioning firm based on trust, one relationship at a time. We hire the best p…",Canada - Data Center Commissioning Engineer (CxE) - Electrical - All Levels,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Apollo Mission Critical Engineering'}",2025-04-10T10:37:53Z,full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkxVTmNKNWo4UkdhOU84NmRwcEcxUSIsImkiOiI1MTM4ODA3NzE3In0.7nJxQWYhdyCwugao1PdZdqye-_TkpzLBTjVEk-Uz7Bs,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Canada', 'Québec', 'Montréal', 'Montréal East'], 'display_name': 'Montréal East, Montréal'}",Adzuna::API::Response::Job,0,https://www.adzuna.ca/details/5138807717?utm_medium=api&utm_source=dc9dca8a,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Engineering Jobs', 'tag': 'engineering-jobs'}",5138807717,45.65382,-73.5276,,,permanent
16,"About Us Apollo is a Mission-Critical Infrastructure Engineering, Construction, Commissioning, and Operations Support Services Company. We serve mission-critical industries globally with commissioning, emergency response, operations support, and owner's representative services. Apollo is currently executing projects in multiple states in the United States, in Canada and Brazil. Since our inception, we have built a commissioning firm based on trust, one relationship at a time. We hire the best p…",Canada - Data Center Commissioning Engineer (CxE) - Mechanical - All Levels,"{'display_name': 'Apollo Mission Critical Engineering', '__CLASS__': 'Adzuna::API::Response::Company'}",2025-04-10T11:09:19Z,full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkxVTmNKNWo4UkdhOU84NmRwcEcxUSIsImkiOiI1MTM4ODM2MzkxIn0.Z4pF0uswJ8jywrR6TVqEe0WjT7gVMoRWiFjUPQmKaB8,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Canada', 'Québec', 'Montréal', 'Montréal East'], 'display_name': 'Montréal East, Montréal'}",Adzuna::API::Response::Job,0,https://www.adzuna.ca/details/5138836391?utm_medium=api&utm_source=dc9dca8a,"{'tag': 'engineering-jobs', 'label': 'Engineering Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",5138836391,45.65382,-73.5276,,,permanent
17,"Lambda, The Superintelligence Cloud, is a leader in AI cloud infrastructure serving tens of thousands of customers. Our customers range from AI researchers to enterprises and hyperscalers. Lambda's mission is to make compute as ubiquitous as electricity and give everyone the power of superintelligence. One person, one GPU. If you'd like to build the world's best AI cloud, join us. *Note: This position requires presence in our Quebec City, Canada Data Center 5 days per week; shift work. What You…","Senior Data Center Operations Systems Engineer (Quebec City, Canada)","{'display_name': 'Lambda', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-04-16T16:16:08Z,full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkxVTmNKNWo4UkdhOU84NmRwcEcxUSIsImkiOiI1NzAxNjMwMzA4In0.GeO8wL53xa_OV5XbXX-Gm5Mw-6vsrDcIqdLhDYoeaYY,"{'display_name': 'Québec City, Québec', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Canada', 'Québec', 'Québec City']}",Adzuna::API::Response::Job,0,https://www.adzuna.ca/details/5701630308?utm_medium=api&utm_source=dc9dca8a,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'engineering-jobs', 'label': 'Engineering Jobs'}",5701630308,46.816056,-71.252738,124800.0,83200.0,
18,"Job Description Job Description Salary: About Us Apollo is a Mission-Critical Infrastructure Engineering, Construction, Commissioning, and Operations Support Services Company. We serve mission-critical industries globally with commissioning, emergency response, operations support, and owner's representative services. Apollo is currently executing projects in multiple states in the United States, in Canada and Brazil. Since our inception, we have built a commissioning firm based on trust, one re…",Canada - Data Center Commissioning Engineer (CxE) - Mechanical - All Levels,"{'display_name': 'Apollo Mission Critical Engineering', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-05-10T05:38:11Z,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyNTA1MjI0NyIsInMiOiJaTFVOY0o1ajhSR2E5Tzg2ZHBwRzFRIn0.dWAQ2z-Jv__teVUsKZ_6OsMvCZIOG94ef31rmQQerLI,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Canada', 'Québec', 'Montréal'], 'display_name': 'Montréal, Québec'}",Adzuna::API::Response::Job,0,https://www.adzuna.ca/details/5725052247?utm_medium=api&utm_source=dc9dca8a,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Engineering Jobs', 'tag': 'engineering-jobs'}",5725052247,45.544959,-73.588138,,,permanent
19,"Job Description Job Description Salary: About Us Apollo is a Mission-Critical Infrastructure Engineering, Construction, Commissioning, and Operations Support Services Company. We serve mission-critical industries globally with commissioning, emergency response, operations support, and owner's representative services. Apollo is currently executing projects in multiple states in the United States, in Canada and Brazil. Since our inception, we have built a commissioning firm based on trust, one re…",Canada - Data Center Commissioning Engineer (CxE) - Electrical - All Levels,"{'display_name': 'Apollo Mission Critical Engineering', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-05-10T05:38:41Z,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyNTA1MjU3MyIsInMiOiJaTFVOY0o1ajhSR2E5Tzg2ZHBwRzFRIn0.jf5eDS5h0JT8_4MT6BjbMi_7wG_tRBwg9mChr7FxSOE,"{'display_name': 'Montréal, Québec', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Canada', 'Québec', 'Montréal']}",Adzuna::API::Response::Job,0,https://www.adzuna.ca/details/5725052573?utm_medium=api&utm_source=dc9dca8a,"{'tag': 'engineering-jobs', 'label': 'Engineering Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",5725052573,45.544959,-73.588138,,,permanent
20,"Role: Principal Java Data Engineer Location: Canada (Remote) Long Term contract Mandatory skill:- Spec-Driven Development (SDD) is Must with AI Ideal Experience Lead and guide the design and implementation of scalable distributed systems based on Java microservices Engineer and optimize data pipelines using solutions like Apache Hudi, Apache Trino, Azure ADLS Collaborate cross-functionally with product, analytics, and AI teams to ensure data is a strategic asset Principal Software Data Engineer…",Principal Java Data Engineer,"{'display_name': 'Purple Hires Inc', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-06-05T13:15:52Z,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkxVTmNKNWo4UkdhOU84NmRwcEcxUSIsImkiOiI1NzUzMzUxMzMwIn0.-clpt_r6kjTSFjnYRc2wH9rEl00ePIfoLR5wKDSc-os,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Canada', 'Ontario', 'Toronto', 'City of Toronto', 'Regent Park'], 'display_name': 'Regent Park, City of Toronto'}",Adzuna::API::Response::Job,0,https://www.adzuna.ca/details/5753351330?utm_medium=api&utm_source=dc9dca8a,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT Jobs', 'tag': 'it-jobs'}",5753351330,43.65886,-79.36399,,,
21,"Role: Principal Data Engineer Location: Toronto or Vancouver, Canada ( Remote) Mandatory skill:- Spec-Driven Development (SDD) is Must with AI Ideal Experience Principal Data Engineer with at least 10 years of professional experience in software or data engineering, including a minimum of 4 years focused on streaming and real-time data systems Proven experience driving technical direction and mentoring engineers while delivering complex, high-scale solutions as a hands-on contributor Deep exper…",Principal Data Engineer,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Purple Hires Inc'}",2026-06-05T13:15:53Z,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkxVTmNKNWo4UkdhOU84NmRwcEcxUSIsImkiOiI1NzUzMzUxMzc5In0.m4L9rgwDT1ILlp6wLJzwsZN2vj6Oo67ghm6siUWjL7M,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Canada', 'Ontario', 'Toronto', 'City of Toronto', 'Regent Park'], 'display_name': 'Regent Park, City of Toronto'}",Adzuna::API::Response::Job,0,https://www.adzuna.ca/details/5753351379?utm_medium=api&utm_source=dc9dca8a,"{'label': 'IT Jobs', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",5753351379,43.65881,-79.36422,,,
22,"Description KEY OBJECTIVES: Chubb is seeking an exceptional AVP, Lead AI Engineer with a passion for hands-on technical leadership and large-scale delivery of production Large Language Model (LLM) systems. This role is built for leaders who thrive on architecting, building, and deploying high-impact AI solutions that power enterprise transformation. We’re looking for an AVP, Lead AI Engineer who is still hands-on with code, obsessed with end-to-end performance, and eager to unify multiple produ…","AVP, Lead AI Engineer","{'display_name': 'Chubb', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-03-14T16:19:01Z,full_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY2NTY5NDc3MiIsInMiOiJaTFVOY0o1ajhSR2E5Tzg2ZHBwRzFRIn0.X0MC7m6spDQhy5TLkUoDZUm6O8CpZp6Za4rDcysIXMw,"{'area': ['Canada', 'Ontario', 'Toronto'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Toronto, Ontario'}",Adzuna::API::Response::Job,0,https://www.adzuna.ca/details/5665694772?utm_medium=api&utm_source=dc9dca8a,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT Jobs', 'tag': 'it-jobs'}",5665694772,43.706102,-79.402726,,,
